Model,Dataset,Language,Average Token Count Per Row,Average Bytes Per Token,Average Normalized Sequence Length
llama-3.1-70B,arc-challenge,bn,690.3387372013652,2.1732875279184216,1.0
llama-3.1-70B,arc-challenge,en,124.1561433447099,4.706350581957593,1.0
llama-3.1-70B,arc-easy,bn,639.9936868686868,2.1721871073932744,1.0
llama-3.1-70B,arc-easy,en,114.68602693602692,4.708745594510948,1.0
llama-3.1-70B,boolq,bn,1114.6755351681957,2.2051252868723306,1.0
llama-3.1-70B,boolq,en,196.0235474006116,4.800881442216844,1.0
llama-3.1-70B,commonsenseqa,bn,577.8959868959869,2.1630080451918015,1.0
llama-3.1-70B,commonsenseqa,en,105.87796887796888,4.470809895406966,1.0
llama-3.1-70B,gsm8k-main,bn,943.8385140257772,2.168507231606912,1.0
llama-3.1-70B,gsm8k-main,en,169.69598180439726,4.797540482911509,1.0
llama-3.1-70B,hellaswag,bn,1358.8346496051186,2.194476497664909,1.0
llama-3.1-70B,hellaswag,en,255.65450364890532,4.5898834458409405,1.0
llama-3.1-70B,mmlu,bn,899.2377244213714,2.1806430221883257,1.0
llama-3.1-70B,mmlu,en,164.50097339390007,4.697096718109486,1.0
llama-3.1-70B,openbookqa,bn,549.11,2.161464464280649,1.0
llama-3.1-70B,openbookqa,en,98.784,4.615190978470429,1.0
llama-3.1-70B,piqa,bn,668.5214007782101,2.194410767080918,1.0
llama-3.1-70B,piqa,en,114.78891050583658,4.816839883499475,1.0
llama-3.1-70B,winogrande,bn,522.217883418223,2.2014581985121087,1.0
llama-3.1-70B,winogrande,en,86.9586870401811,4.980178910659151,1.0
llama-3.3-70B,arc-challenge,bn,690.3387372013652,2.1732875279184216,1.0
llama-3.3-70B,arc-challenge,en,124.1561433447099,4.706350581957593,1.0
llama-3.3-70B,arc-easy,bn,639.9936868686868,2.1721871073932744,1.0
llama-3.3-70B,arc-easy,en,114.68602693602692,4.708745594510948,1.0
llama-3.3-70B,boolq,bn,1114.6755351681957,2.2051252868723306,1.0
llama-3.3-70B,boolq,en,196.0235474006116,4.800881442216844,1.0
llama-3.3-70B,commonsenseqa,bn,577.8959868959869,2.1630080451918015,1.0
llama-3.3-70B,commonsenseqa,en,105.87796887796888,4.470809895406966,1.0
llama-3.3-70B,gsm8k-main,bn,943.8385140257772,2.168507231606912,1.0
llama-3.3-70B,gsm8k-main,en,169.69598180439726,4.797540482911509,1.0
llama-3.3-70B,hellaswag,bn,1358.8346496051186,2.194476497664909,1.0
llama-3.3-70B,hellaswag,en,255.65450364890532,4.5898834458409405,1.0
llama-3.3-70B,mmlu,bn,899.2377244213714,2.1806430221883257,1.0
llama-3.3-70B,mmlu,en,164.50097339390007,4.697096718109486,1.0
llama-3.3-70B,openbookqa,bn,549.11,2.161464464280649,1.0
llama-3.3-70B,openbookqa,en,98.784,4.615190978470429,1.0
llama-3.3-70B,piqa,bn,668.5214007782101,2.194410767080918,1.0
llama-3.3-70B,piqa,en,114.78891050583658,4.816839883499475,1.0
llama-3.3-70B,winogrande,bn,522.217883418223,2.2014581985121087,1.0
llama-3.3-70B,winogrande,en,86.9586870401811,4.980178910659151,1.0
qwen2.5-72B,arc-challenge,bn,602.6373720136519,2.49041256490061,0.8726693206510496
qwen2.5-72B,arc-challenge,en,123.57935153583618,4.732854760017065,0.994802261658134
qwen2.5-72B,arc-easy,bn,558.2622053872054,2.4911327095448854,0.8719646261191714
qwen2.5-72B,arc-easy,en,113.868265993266,4.7452219323509235,0.9924124272799232
qwen2.5-72B,boolq,bn,976.0009174311926,2.5212562077793685,0.8746610383725253
qwen2.5-72B,boolq,en,199.42446483180427,4.735344820786077,1.0152498515448023
qwen2.5-72B,commonsenseqa,bn,504.8108108108109,2.4762747150321736,0.8734950747849491
qwen2.5-72B,commonsenseqa,en,104.8943488943489,4.512958660628703,0.9906690850205764
qwen2.5-72B,gsm8k-main,bn,833.7323730098559,2.4551794822677073,0.8832354953168114
qwen2.5-72B,gsm8k-main,en,175.03108415466264,4.651396092835527,1.0315757218527073
qwen2.5-72B,hellaswag,bn,1195.1995401379586,2.4958376835200156,0.8792645173017115
qwen2.5-72B,hellaswag,en,255.22473258022592,4.601700205291793,0.9975490236493424
qwen2.5-72B,mmlu,bn,788.1617275939145,2.4919296306445906,0.8751498692028364
qwen2.5-72B,mmlu,en,165.39238589660394,4.688179564611837,1.0032792259051184
qwen2.5-72B,openbookqa,bn,476.952,2.4888912918816373,0.8684435060507205
qwen2.5-72B,openbookqa,en,97.854,4.660076033120553,0.9904210740239948
qwen2.5-72B,piqa,bn,585.7263294422828,2.5084675513376364,0.8748212535036305
qwen2.5-72B,piqa,en,114.07814526588844,4.85631500372787,0.9921109667564142
qwen2.5-72B,winogrande,bn,455.4974533106961,2.5239520050128896,0.8722202305379627
qwen2.5-72B,winogrande,en,85.96717600452745,5.037823519685927,0.9885702030017276
deepseek-qwen-14B,arc-challenge,bn,603.6373720136519,2.486135987749404,0.8741705439894154
deepseek-qwen-14B,arc-challenge,en,124.57935153583618,4.693615930454823,1.0031189359509467
deepseek-qwen-14B,arc-easy,bn,559.2622053872054,2.486538903245868,0.8735754227521133
deepseek-qwen-14B,arc-easy,en,114.868265993266,4.7028160636239384,1.0013696323703996
deepseek-qwen-14B,boolq,bn,977.0009174311926,2.5184095395624775,0.8756474731116191
deepseek-qwen-14B,boolq,en,200.42446483180427,4.708834143319764,1.0209069705611682
deepseek-qwen-14B,commonsenseqa,bn,505.8108108108109,2.471356937410436,0.8752331604886294
deepseek-qwen-14B,commonsenseqa,en,105.8943488943489,4.47017069145515,1.000149186519968
deepseek-qwen-14B,gsm8k-main,bn,834.7323730098559,2.45220016930382,0.88430855942886
deepseek-qwen-14B,gsm8k-main,en,176.03108415466264,4.624546955538158,1.037557178843321
deepseek-qwen-14B,hellaswag,bn,1196.1995401379586,2.493549958805415,0.8800714962630519
deepseek-qwen-14B,hellaswag,en,256.2247325802259,4.581753036015297,1.00186728591643
deepseek-qwen-14B,mmlu,bn,789.1617275939145,2.4881140554612458,0.8764927986585852
deepseek-qwen-14B,mmlu,en,166.39238589660394,4.6544022243030465,1.0105660928429434
deepseek-qwen-14B,openbookqa,bn,477.952,2.4836093708368696,0.8702902169155479
deepseek-qwen-14B,openbookqa,en,98.854,4.6123594128729914,1.0006685384044565
deepseek-qwen-14B,piqa,bn,586.7263294422828,2.5038195853397047,0.8764411297610758
deepseek-qwen-14B,piqa,en,115.07814526588844,4.809276219376783,1.0017292451097988
deepseek-qwen-14B,winogrande,bn,456.4974533106961,2.518408028207837,0.8741401918323526
deepseek-qwen-14B,winogrande,en,86.96717600452745,4.979743201881736,1.0000934334390383
qwen2.5-7B,arc-challenge,bn,602.6373720136519,2.49041256490061,0.8726693206510496
qwen2.5-7B,arc-challenge,en,123.57935153583618,4.732854760017065,0.994802261658134
qwen2.5-7B,arc-easy,bn,558.2622053872054,2.4911327095448854,0.8719646261191714
qwen2.5-7B,arc-easy,en,113.868265993266,4.7452219323509235,0.9924124272799232
qwen2.5-7B,boolq,bn,976.0009174311926,2.5212562077793685,0.8746610383725253
qwen2.5-7B,boolq,en,199.42446483180427,4.735344820786077,1.0152498515448023
qwen2.5-7B,commonsenseqa,bn,504.8108108108109,2.4762747150321736,0.8734950747849491
qwen2.5-7B,commonsenseqa,en,104.8943488943489,4.512958660628703,0.9906690850205764
qwen2.5-7B,gsm8k-main,bn,833.7323730098559,2.4551794822677073,0.8832354953168114
qwen2.5-7B,gsm8k-main,en,175.03108415466264,4.651396092835527,1.0315757218527073
qwen2.5-7B,hellaswag,bn,1195.1995401379586,2.4958376835200156,0.8792645173017115
qwen2.5-7B,hellaswag,en,255.22473258022592,4.601700205291793,0.9975490236493424
qwen2.5-7B,mmlu,bn,788.1617275939145,2.4919296306445906,0.8751498692028364
qwen2.5-7B,mmlu,en,165.39238589660394,4.688179564611837,1.0032792259051184
qwen2.5-7B,openbookqa,bn,476.952,2.4888912918816373,0.8684435060507205
qwen2.5-7B,openbookqa,en,97.854,4.660076033120553,0.9904210740239948
qwen2.5-7B,piqa,bn,585.7263294422828,2.5084675513376364,0.8748212535036305
qwen2.5-7B,piqa,en,114.07814526588844,4.85631500372787,0.9921109667564142
qwen2.5-7B,winogrande,bn,455.4974533106961,2.5239520050128896,0.8722202305379627
qwen2.5-7B,winogrande,en,85.96717600452745,5.037823519685927,0.9885702030017276
mistral-24B,arc-challenge,bn,345.64078498293514,4.338327591306215,0.5011651164117332
mistral-24B,arc-challenge,en,124.62372013651876,4.692672567569982,1.0033599114642178
mistral-24B,arc-easy,bn,320.5938552188552,4.334999398092078,0.5011982155366866
mistral-24B,arc-easy,en,114.8219696969697,4.705580175091202,1.0009032097658397
mistral-24B,boolq,bn,565.0155963302752,4.347657380594658,0.5074015718887575
mistral-24B,boolq,en,202.4645259938838,4.660478771923418,1.0316663337516574
mistral-24B,commonsenseqa,bn,294.8853398853399,4.238903480897005,0.5103340071307462
mistral-24B,commonsenseqa,en,106.44307944307944,4.447312247357228,1.0053573196928065
mistral-24B,gsm8k-main,bn,479.289613343442,4.2703003250757385,0.5078550067216275
mistral-24B,gsm8k-main,en,178.00758150113722,4.573700101753941,1.0491729403157646
mistral-24B,hellaswag,bn,689.1713485954214,4.332061286498172,0.5066845857186163
mistral-24B,hellaswag,en,258.7113865840248,4.539740977047609,1.0112817701530508
mistral-24B,mmlu,bn,448.6784194967193,4.359689219642935,0.5007148894868286
mistral-24B,mmlu,en,167.02689451294253,4.644835943468577,1.0126976562985348
mistral-24B,openbookqa,bn,274.194,4.328085648496579,0.4994746872776817
mistral-24B,openbookqa,en,99.254,4.594142096439203,1.0047034780106392
mistral-24B,piqa,bn,332.4046692607004,4.419002971282671,0.4967404147083397
mistral-24B,piqa,en,116.73476005188068,4.75152819942366,1.0143065335070245
mistral-24B,winogrande,bn,258.49179400113184,4.447780657318567,0.4950100651777106
mistral-24B,winogrande,en,87.3010752688172,4.96120799598427,1.0039060797374852
deepseek-llama-70B,arc-challenge,bn,690.3387372013652,2.1732875279184216,1.0
deepseek-llama-70B,arc-challenge,en,124.1561433447099,4.706350581957593,1.0
deepseek-llama-70B,arc-easy,bn,639.9936868686868,2.1721871073932744,1.0
deepseek-llama-70B,arc-easy,en,114.68602693602692,4.708745594510948,1.0
deepseek-llama-70B,boolq,bn,1114.6755351681957,2.2051252868723306,1.0
deepseek-llama-70B,boolq,en,196.0235474006116,4.800881442216844,1.0
deepseek-llama-70B,commonsenseqa,bn,577.8959868959869,2.1630080451918015,1.0
deepseek-llama-70B,commonsenseqa,en,105.87796887796888,4.470809895406966,1.0
deepseek-llama-70B,gsm8k-main,bn,943.8385140257772,2.168507231606912,1.0
deepseek-llama-70B,gsm8k-main,en,169.69598180439726,4.797540482911509,1.0
deepseek-llama-70B,hellaswag,bn,1358.8346496051186,2.194476497664909,1.0
deepseek-llama-70B,hellaswag,en,255.65450364890532,4.5898834458409405,1.0
deepseek-llama-70B,mmlu,bn,899.2377244213714,2.1806430221883257,1.0
deepseek-llama-70B,mmlu,en,164.50097339390007,4.697096718109486,1.0
deepseek-llama-70B,openbookqa,bn,549.11,2.161464464280649,1.0
deepseek-llama-70B,openbookqa,en,98.784,4.615190978470429,1.0
deepseek-llama-70B,piqa,bn,668.5214007782101,2.194410767080918,1.0
deepseek-llama-70B,piqa,en,114.78891050583658,4.816839883499475,1.0
deepseek-llama-70B,winogrande,bn,522.217883418223,2.2014581985121087,1.0
deepseek-llama-70B,winogrande,en,86.9586870401811,4.980178910659151,1.0
llama-3.1-8B,arc-challenge,bn,690.3387372013652,2.1732875279184216,1.0
llama-3.1-8B,arc-challenge,en,124.1561433447099,4.706350581957593,1.0
llama-3.1-8B,arc-easy,bn,639.9936868686868,2.1721871073932744,1.0
llama-3.1-8B,arc-easy,en,114.68602693602692,4.708745594510948,1.0
llama-3.1-8B,boolq,bn,1114.6755351681957,2.2051252868723306,1.0
llama-3.1-8B,boolq,en,196.0235474006116,4.800881442216844,1.0
llama-3.1-8B,commonsenseqa,bn,577.8959868959869,2.1630080451918015,1.0
llama-3.1-8B,commonsenseqa,en,105.87796887796888,4.470809895406966,1.0
llama-3.1-8B,gsm8k-main,bn,943.8385140257772,2.168507231606912,1.0
llama-3.1-8B,gsm8k-main,en,169.69598180439726,4.797540482911509,1.0
llama-3.1-8B,hellaswag,bn,1358.8346496051186,2.194476497664909,1.0
llama-3.1-8B,hellaswag,en,255.65450364890532,4.5898834458409405,1.0
llama-3.1-8B,mmlu,bn,899.2377244213714,2.1806430221883257,1.0
llama-3.1-8B,mmlu,en,164.50097339390007,4.697096718109486,1.0
llama-3.1-8B,openbookqa,bn,549.11,2.161464464280649,1.0
llama-3.1-8B,openbookqa,en,98.784,4.615190978470429,1.0
llama-3.1-8B,piqa,bn,668.5214007782101,2.194410767080918,1.0
llama-3.1-8B,piqa,en,114.78891050583658,4.816839883499475,1.0
llama-3.1-8B,winogrande,bn,522.217883418223,2.2014581985121087,1.0
llama-3.1-8B,winogrande,en,86.9586870401811,4.980178910659151,1.0
llama-3.2-3B,arc-challenge,bn,690.3387372013652,2.1732875279184216,1.0
llama-3.2-3B,arc-challenge,en,124.1561433447099,4.706350581957593,1.0
llama-3.2-3B,arc-easy,bn,639.9936868686868,2.1721871073932744,1.0
llama-3.2-3B,arc-easy,en,114.68602693602692,4.708745594510948,1.0
llama-3.2-3B,boolq,bn,1114.6755351681957,2.2051252868723306,1.0
llama-3.2-3B,boolq,en,196.0235474006116,4.800881442216844,1.0
llama-3.2-3B,commonsenseqa,bn,577.8959868959869,2.1630080451918015,1.0
llama-3.2-3B,commonsenseqa,en,105.87796887796888,4.470809895406966,1.0
llama-3.2-3B,gsm8k-main,bn,943.8385140257772,2.168507231606912,1.0
llama-3.2-3B,gsm8k-main,en,169.69598180439726,4.797540482911509,1.0
llama-3.2-3B,hellaswag,bn,1358.8346496051186,2.194476497664909,1.0
llama-3.2-3B,hellaswag,en,255.65450364890532,4.5898834458409405,1.0
llama-3.2-3B,mmlu,bn,899.2377244213714,2.1806430221883257,1.0
llama-3.2-3B,mmlu,en,164.50097339390007,4.697096718109486,1.0
llama-3.2-3B,openbookqa,bn,549.11,2.161464464280649,1.0
llama-3.2-3B,openbookqa,en,98.784,4.615190978470429,1.0
llama-3.2-3B,piqa,bn,668.5214007782101,2.194410767080918,1.0
llama-3.2-3B,piqa,en,114.78891050583658,4.816839883499475,1.0
llama-3.2-3B,winogrande,bn,522.217883418223,2.2014581985121087,1.0
llama-3.2-3B,winogrande,en,86.9586870401811,4.980178910659151,1.0
mistral-7B,arc-challenge,bn,635.8967576791808,2.359510432920814,0.9213007889439732
mistral-7B,arc-challenge,en,137.41211604095562,4.254963217957911,1.1068374491994912
mistral-7B,arc-easy,bn,589.0071548821549,2.360641716160812,0.920334609541752
mistral-7B,arc-easy,en,126.96843434343434,4.256391675480218,1.1068397334882047
mistral-7B,boolq,bn,1020.85626911315,2.4099400438683696,0.915351060680562
mistral-7B,boolq,en,220.98012232415903,4.2693539232657765,1.126021417119628
mistral-7B,commonsenseqa,bn,534.8206388206388,2.337436550896501,0.9254825197642872
mistral-7B,commonsenseqa,en,116.1105651105651,4.07682854465237,1.0968490402877384
mistral-7B,gsm8k-main,bn,897.8165276724792,2.279339696929592,0.9514978510459232
mistral-7B,gsm8k-main,en,186.89613343442,4.35646968713836,1.1015996509646198
mistral-7B,hellaswag,bn,1238.2839148255523,2.406849300140544,0.9119560918554628
mistral-7B,hellaswag,en,280.2726182145356,4.1817650071045955,1.0980057384726205
mistral-7B,mmlu,bn,825.9294109164323,2.3755157508479665,0.9182503903143296
mistral-7B,mmlu,en,183.93553969284017,4.206463071865699,1.1179714510340428
mistral-7B,openbookqa,bn,502.182,2.3638738347521993,0.9144959166503522
mistral-7B,openbookqa,en,108.15,4.21543989733477,1.0951636003849867
mistral-7B,piqa,bn,607.9413099870299,2.4145768047233664,0.9089959287338018
mistral-7B,piqa,en,127.568093385214,4.338772827158188,1.1108613610947835
mistral-7B,winogrande,bn,477.7962648556876,2.406162845391181,0.9150148225446508
mistral-7B,winogrande,en,96.40860215053765,4.493067160005741,1.1088487470040287
